concept,siftco,colorco,map
horse,0.38,0.62,0.3165
boat,0.38,0.62,0.3912
bus,0.38,0.62,0.6097
bird,0.38,0.62,0.3088
tvmonitor,0.38,0.62,0.3879
pottedplant,0.38,0.62,0.1612
sheep,0.38,0.62,0.3341
chair,0.38,0.62,0.3562
cow,0.38,0.62,0.1665
diningtable,0.17,0.83,0.2116
car,0.17,0.83,0.3234
person,0.17,0.83,0.6067
aeroplane,0.17,0.83,0.5213
dog,0.17,0.83,0.3359
bicycle,0.17,0.83,0.3504
train,0.17,0.83,0.3563
motorbike,0.17,0.83,0.2910
bottle,0.17,0.83,0.1251
sofa,0.17,0.83,0.1169
cat,0.17,0.83,0.3911
horse,0.17,0.83,0.2789
boat,0.17,0.83,0.3275
bus,0.17,0.83,0.4360
bird,0.17,0.83,0.2462
tvmonitor,0.17,0.83,0.3327
pottedplant,0.17,0.83,0.1702
sheep,0.17,0.83,0.2472
chair,0.17,0.83,0.2609
cow,0.17,0.83,0.1289
diningtable,0.59,0.41,0.2487
car,0.59,0.41,0.4026
person,0.59,0.41,0.6857
aeroplane,0.59,0.41,0.7046
dog,0.59,0.41,0.3492
bicycle,0.59,0.41,0.3848
train,0.59,0.41,0.5145
motorbike,0.59,0.41,0.3139
bottle,0.59,0.41,0.1392
sofa,0.59,0.41,0.1907
cat,0.59,0.41,0.4565
horse,0.59,0.41,0.3176
boat,0.59,0.41,0.3888
bus,0.59,0.41,0.6162
bird,0.59,0.41,0.3268
tvmonitor,0.59,0.41,0.3900
pottedplant,0.59,0.41,0.1523
sheep,0.59,0.41,0.3559
chair,0.59,0.41,0.3770
cow,0.59,0.41,0.1843
diningtable,0.25,0.75,0.2323
car,0.25,0.75,0.3590
person,0.25,0.75,0.6352
aeroplane,0.25,0.75,0.5678
dog,0.25,0.75,0.3443
bicycle,0.25,0.75,0.3707
train,0.25,0.75,0.4444
motorbike,0.25,0.75,0.3158
bottle,0.25,0.75,0.1312
sofa,0.25,0.75,0.1333
cat,0.25,0.75,0.4295
horse,0.25,0.75,0.3055
boat,0.25,0.75,0.3592
bus,0.25,0.75,0.5420
bird,0.25,0.75,0.2697
tvmonitor,0.25,0.75,0.3693
pottedplant,0.25,0.75,0.1687
sheep,0.25,0.75,0.2945
chair,0.25,0.75,0.2998
cow,0.25,0.75,0.1445
diningtable,0.49,0.51,0.2535
car,0.49,0.51,0.4015
person,0.49,0.51,0.6851
aeroplane,0.49,0.51,0.6809
dog,0.49,0.51,0.3497
bicycle,0.49,0.51,0.3846
train,0.49,0.51,0.5123
motorbike,0.49,0.51,0.3166
bottle,0.49,0.51,0.1390
sofa,0.49,0.51,0.1806
cat,0.49,0.51,0.4573
horse,0.49,0.51,0.3186
boat,0.49,0.51,0.3959
bus,0.49,0.51,0.6165
bird,0.49,0.51,0.3258
tvmonitor,0.49,0.51,0.3909
pottedplant,0.49,0.51,0.1568
sheep,0.49,0.51,0.3508
chair,0.49,0.51,0.3746
cow,0.49,0.51,0.1807
diningtable,0.6,0.4,0.2480
car,0.6,0.4,0.4025
person,0.6,0.4,0.6854
aeroplane,0.6,0.4,0.7054
dog,0.6,0.4,0.3491
bicycle,0.6,0.4,0.3847
train,0.6,0.4,0.5145
motorbike,0.6,0.4,0.3137
bottle,0.6,0.4,0.1390
sofa,0.6,0.4,0.1911
cat,0.6,0.4,0.4564
horse,0.6,0.4,0.3172
boat,0.6,0.4,0.3880
bus,0.6,0.4,0.6159
bird,0.6,0.4,0.3270
tvmonitor,0.6,0.4,0.3897
pottedplant,0.6,0.4,0.1520
sheep,0.6,0.4,0.3556
chair,0.6,0.4,0.3775
cow,0.6,0.4,0.1846
diningtable,0.54,0.46,0.2517
car,0.54,0.46,0.4026
person,0.54,0.46,0.6862
aeroplane,0.54,0.46,0.6970
dog,0.54,0.46,0.3495
bicycle,0.54,0.46,0.3850
train,0.54,0.46,0.5133
motorbike,0.54,0.46,0.3147
bottle,0.54,0.46,0.1399
sofa,0.54,0.46,0.1853
cat,0.54,0.46,0.4572
horse,0.54,0.46,0.3187
boat,0.54,0.46,0.3936
bus,0.54,0.46,0.6177
bird,0.54,0.46,0.3274
tvmonitor,0.54,0.46,0.3909
pottedplant,0.54,0.46,0.1540
sheep,0.54,0.46,0.3534
chair,0.54,0.46,0.3768
cow,0.54,0.46,0.1833
diningtable,0.87,0.13,0.2321
car,0.87,0.13,0.3895
person,0.87,0.13,0.6680
aeroplane,0.87,0.13,0.7004
dog,0.87,0.13,0.3459
bicycle,0.87,0.13,0.3832
train,0.87,0.13,0.5098
motorbike,0.87,0.13,0.3028
bottle,0.87,0.13,0.1358
sofa,0.87,0.13,0.1887
cat,0.87,0.13,0.4467
horse,0.87,0.13,0.3116
boat,0.87,0.13,0.3519
bus,0.87,0.13,0.5959
bird,0.87,0.13,0.3037
tvmonitor,0.87,0.13,0.3815
pottedplant,0.87,0.13,0.1448
sheep,0.87,0.13,0.3521
chair,0.87,0.13,0.3694
cow,0.87,0.13,0.1748
diningtable,0.04,0.96,0.1570
car,0.04,0.96,0.2519
person,0.04,0.96,0.5506
aeroplane,0.04,0.96,0.4127
dog,0.04,0.96,0.2599
bicycle,0.04,0.96,0.1893
train,0.04,0.96,0.1860
motorbike,0.04,0.96,0.1453
bottle,0.04,0.96,0.1031
sofa,0.04,0.96,0.0948
cat,0.04,0.96,0.2367
horse,0.04,0.96,0.1285
boat,0.04,0.96,0.2666
bus,0.04,0.96,0.2345
bird,0.04,0.96,0.2074
tvmonitor,0.04,0.96,0.1568
pottedplant,0.04,0.96,0.1262
sheep,0.04,0.96,0.1681
chair,0.04,0.96,0.1996
cow,0.04,0.96,0.1010
diningtable,0.46,0.54,0.2554
car,0.46,0.54,0.3996
person,0.46,0.54,0.6829
aeroplane,0.46,0.54,0.6661
dog,0.46,0.54,0.3496
bicycle,0.46,0.54,0.3840
train,0.46,0.54,0.5105
motorbike,0.46,0.54,0.3169
bottle,0.46,0.54,0.1390
sofa,0.46,0.54,0.1766
cat,0.46,0.54,0.4568
horse,0.46,0.54,0.3184
boat,0.46,0.54,0.3953
bus,0.46,0.54,0.6159
bird,0.46,0.54,0.3229
tvmonitor,0.46,0.54,0.3909
pottedplant,0.46,0.54,0.1579
sheep,0.46,0.54,0.3483
chair,0.46,0.54,0.3724
cow,0.46,0.54,0.1785
diningtable,0.01,0.99,0.1451
car,0.01,0.99,0.2373
person,0.01,0.99,0.5353
aeroplane,0.01,0.99,0.3686
dog,0.01,0.99,0.1968
bicycle,0.01,0.99,0.0992
train,0.01,0.99,0.1491
motorbike,0.01,0.99,0.1190
bottle,0.01,0.99,0.0972
sofa,0.01,0.99,0.0904
cat,0.01,0.99,0.1978
horse,0.01,0.99,0.0957
boat,0.01,0.99,0.2552
bus,0.01,0.99,0.1985
bird,0.01,0.99,0.1980
tvmonitor,0.01,0.99,0.1249
pottedplant,0.01,0.99,0.1105
sheep,0.01,0.99,0.1505
chair,0.01,0.99,0.1874
cow,0.01,0.99,0.0951
diningtable,0.8,0.2,0.2360
car,0.8,0.2,0.3938
person,0.8,0.2,0.6733
aeroplane,0.8,0.2,0.7038
dog,0.8,0.2,0.3469
bicycle,0.8,0.2,0.3837
train,0.8,0.2,0.5116
motorbike,0.8,0.2,0.3052
bottle,0.8,0.2,0.1366
sofa,0.8,0.2,0.1909
cat,0.8,0.2,0.4493
horse,0.8,0.2,0.3125
boat,0.8,0.2,0.3640
bus,0.8,0.2,0.6023
bird,0.8,0.2,0.3098
tvmonitor,0.8,0.2,0.3837
pottedplant,0.8,0.2,0.1465
sheep,0.8,0.2,0.3512
chair,0.8,0.2,0.3733
cow,0.8,0.2,0.1777
diningtable,0.29,0.71,0.2438
car,0.29,0.71,0.3717
person,0.29,0.71,0.6479
aeroplane,0.29,0.71,0.5892
dog,0.29,0.71,0.3462
bicycle,0.29,0.71,0.3754
train,0.29,0.71,0.4726
motorbike,0.29,0.71,0.3190
bottle,0.29,0.71,0.1346
sofa,0.29,0.71,0.1417
cat,0.29,0.71,0.4408
horse,0.29,0.71,0.3112
boat,0.29,0.71,0.3720
bus,0.29,0.71,0.5773
bird,0.29,0.71,0.2828
tvmonitor,0.29,0.71,0.3783
pottedplant,0.29,0.71,0.1666
sheep,0.29,0.71,0.3114
chair,0.29,0.71,0.3201
cow,0.29,0.71,0.1513
diningtable,0.56,0.44,0.2506
car,0.56,0.44,0.4028
person,0.56,0.44,0.6862
aeroplane,0.56,0.44,0.7015
dog,0.56,0.44,0.3494
bicycle,0.56,0.44,0.3853
train,0.56,0.44,0.5140
motorbike,0.56,0.44,0.3141
bottle,0.56,0.44,0.1397
sofa,0.56,0.44,0.1889
cat,0.56,0.44,0.4572
horse,0.56,0.44,0.3186
boat,0.56,0.44,0.3926
bus,0.56,0.44,0.6179
bird,0.56,0.44,0.3282
tvmonitor,0.56,0.44,0.3904
pottedplant,0.56,0.44,0.1535
sheep,0.56,0.44,0.3530
chair,0.56,0.44,0.3773
cow,0.56,0.44,0.1841
diningtable,0.55,0.45,0.2512
car,0.55,0.45,0.4027
person,0.55,0.45,0.6863
aeroplane,0.55,0.45,0.6994
dog,0.55,0.45,0.3495
bicycle,0.55,0.45,0.3852
train,0.55,0.45,0.5138
motorbike,0.55,0.45,0.3144
bottle,0.55,0.45,0.1398
sofa,0.55,0.45,0.1883
cat,0.55,0.45,0.4572
horse,0.55,0.45,0.3189
boat,0.55,0.45,0.3930
bus,0.55,0.45,0.6176
bird,0.55,0.45,0.3276
tvmonitor,0.55,0.45,0.3906
pottedplant,0.55,0.45,0.1536
sheep,0.55,0.45,0.3531
chair,0.55,0.45,0.3773
cow,0.55,0.45,0.1837
diningtable,0.83,0.17,0.2342
car,0.83,0.17,0.3919
person,0.83,0.17,0.6711
aeroplane,0.83,0.17,0.7031
dog,0.83,0.17,0.3467
bicycle,0.83,0.17,0.3836
train,0.83,0.17,0.5110
motorbike,0.83,0.17,0.3044
bottle,0.83,0.17,0.1363
sofa,0.83,0.17,0.1901
cat,0.83,0.17,0.4482
horse,0.83,0.17,0.3120
boat,0.83,0.17,0.3597
bus,0.83,0.17,0.6002
bird,0.83,0.17,0.3068
tvmonitor,0.83,0.17,0.3829
pottedplant,0.83,0.17,0.1457
sheep,0.83,0.17,0.3509
chair,0.83,0.17,0.3716
cow,0.83,0.17,0.1766
diningtable,0.73,0.27,0.2404
car,0.73,0.27,0.3975
person,0.73,0.27,0.6786
aeroplane,0.73,0.27,0.7060
dog,0.73,0.27,0.3479
bicycle,0.73,0.27,0.3842
train,0.73,0.27,0.5129
motorbike,0.73,0.27,0.3094
bottle,0.73,0.27,0.1377
sofa,0.73,0.27,0.1937
cat,0.73,0.27,0.4520
horse,0.73,0.27,0.3138
boat,0.73,0.27,0.3737
bus,0.73,0.27,0.6082
bird,0.73,0.27,0.3146
tvmonitor,0.73,0.27,0.3859
pottedplant,0.73,0.27,0.1486
sheep,0.73,0.27,0.3516
chair,0.73,0.27,0.3767
cow,0.73,0.27,0.1841
diningtable,0.61,0.39,0.2471
car,0.61,0.39,0.4019
person,0.61,0.39,0.6851
aeroplane,0.61,0.39,0.7061
dog,0.61,0.39,0.3490
bicycle,0.61,0.39,0.3847
train,0.61,0.39,0.5146
motorbike,0.61,0.39,0.3131
bottle,0.61,0.39,0.1390
sofa,0.61,0.39,0.1914
cat,0.61,0.39,0.4562
horse,0.61,0.39,0.3171
boat,0.61,0.39,0.3872
bus,0.61,0.39,0.6157
bird,0.61,0.39,0.3267
tvmonitor,0.61,0.39,0.3894
pottedplant,0.61,0.39,0.1519
sheep,0.61,0.39,0.3557
chair,0.61,0.39,0.3782
cow,0.61,0.39,0.1849
diningtable,0.39,0.61,0.2550
car,0.39,0.61,0.3928
person,0.39,0.61,0.6732
aeroplane,0.39,0.61,0.6306
dog,0.39,0.61,0.3485
bicycle,0.39,0.61,0.3823
train,0.39,0.61,0.5029
motorbike,0.39,0.61,0.3174
bottle,0.39,0.61,0.1382
sofa,0.39,0.61,0.1643
cat,0.39,0.61,0.4540
horse,0.39,0.61,0.3169
boat,0.39,0.61,0.3926
bus,0.39,0.61,0.6123
bird,0.39,0.61,0.3121
tvmonitor,0.39,0.61,0.3889
pottedplant,0.39,0.61,0.1607
sheep,0.39,0.61,0.3369
chair,0.39,0.61,0.3589
cow,0.39,0.61,0.1695
diningtable,0.33,0.67,0.2505
car,0.33,0.67,0.3821
person,0.33,0.67,0.6595
aeroplane,0.33,0.67,0.6085
dog,0.33,0.67,0.3475
bicycle,0.33,0.67,0.3791
train,0.33,0.67,0.4892
motorbike,0.33,0.67,0.3186
bottle,0.33,0.67,0.1368
sofa,0.33,0.67,0.1521
cat,0.33,0.67,0.4474
horse,0.33,0.67,0.3153
boat,0.33,0.67,0.3824
bus,0.33,0.67,0.5951
bird,0.33,0.67,0.2939
tvmonitor,0.33,0.67,0.3834
pottedplant,0.33,0.67,0.1643
sheep,0.33,0.67,0.3237
chair,0.33,0.67,0.3384
cow,0.33,0.67,0.1576
diningtable,0.74,0.26,0.2397
car,0.74,0.26,0.3972
person,0.74,0.26,0.6780
aeroplane,0.74,0.26,0.7062
dog,0.74,0.26,0.3477
bicycle,0.74,0.26,0.3841
train,0.74,0.26,0.5129
motorbike,0.74,0.26,0.3088
bottle,0.74,0.26,0.1376
sofa,0.74,0.26,0.1932
cat,0.74,0.26,0.4516
horse,0.74,0.26,0.3136
boat,0.74,0.26,0.3728
bus,0.74,0.26,0.6071
bird,0.74,0.26,0.3138
tvmonitor,0.74,0.26,0.3854
pottedplant,0.74,0.26,0.1481
sheep,0.74,0.26,0.3515
chair,0.74,0.26,0.3764
cow,0.74,0.26,0.1833
diningtable,0.19,0.81,0.2187
car,0.19,0.81,0.3340
person,0.19,0.81,0.6141
aeroplane,0.19,0.81,0.5338
dog,0.19,0.81,0.3385
bicycle,0.19,0.81,0.3574
train,0.19,0.81,0.3800
motorbike,0.19,0.81,0.3040
bottle,0.19,0.81,0.1277
sofa,0.19,0.81,0.1210
cat,0.19,0.81,0.4050
horse,0.19,0.81,0.2896
boat,0.19,0.81,0.3357
bus,0.19,0.81,0.4686
bird,0.19,0.81,0.2523
tvmonitor,0.19,0.81,0.3458
pottedplant,0.19,0.81,0.1711
sheep,0.19,0.81,0.2585
chair,0.19,0.81,0.2703
cow,0.19,0.81,0.1321
diningtable,0.14,0.86,0.1987
car,0.14,0.86,0.3081
person,0.14,0.86,0.5949
aeroplane,0.14,0.86,0.5015
dog,0.14,0.86,0.3301
bicycle,0.14,0.86,0.3350
train,0.14,0.86,0.3173
motorbike,0.14,0.86,0.2663
bottle,0.14,0.86,0.1206
sofa,0.14,0.86,0.1112
cat,0.14,0.86,0.3683
horse,0.14,0.86,0.2567
boat,0.14,0.86,0.3139
bus,0.14,0.86,0.3882
bird,0.14,0.86,0.2375
tvmonitor,0.14,0.86,0.3023
pottedplant,0.14,0.86,0.1679
sheep,0.14,0.86,0.2291
chair,0.14,0.86,0.2463
cow,0.14,0.86,0.1224
diningtable,0.78,0.22,0.2372
car,0.78,0.22,0.3950
person,0.78,0.22,0.6749
aeroplane,0.78,0.22,0.7047
dog,0.78,0.22,0.3472
bicycle,0.78,0.22,0.3839
train,0.78,0.22,0.5116
motorbike,0.78,0.22,0.3067
bottle,0.78,0.22,0.1370
sofa,0.78,0.22,0.1916
cat,0.78,0.22,0.4498
horse,0.78,0.22,0.3128
boat,0.78,0.22,0.3668
bus,0.78,0.22,0.6038
bird,0.78,0.22,0.3117
tvmonitor,0.78,0.22,0.3842
pottedplant,0.78,0.22,0.1469
sheep,0.78,0.22,0.3516
chair,0.78,0.22,0.3741
cow,0.78,0.22,0.1782
diningtable,0.37,0.63,0.2534
car,0.37,0.63,0.3899
person,0.37,0.63,0.6690
aeroplane,0.37,0.63,0.6231
dog,0.37,0.63,0.3483
bicycle,0.37,0.63,0.3813
train,0.37,0.63,0.5000
motorbike,0.37,0.63,0.3185
bottle,0.37,0.63,0.1379
sofa,0.37,0.63,0.1602
cat,0.37,0.63,0.4524
horse,0.37,0.63,0.3164
boat,0.37,0.63,0.3896
bus,0.37,0.63,0.6075
bird,0.37,0.63,0.3075
tvmonitor,0.37,0.63,0.3872
pottedplant,0.37,0.63,0.1618
sheep,0.37,0.63,0.3321
chair,0.37,0.63,0.3534
cow,0.37,0.63,0.1660
diningtable,0.43,0.57,0.2563
car,0.43,0.57,0.3971
person,0.43,0.57,0.6797
aeroplane,0.43,0.57,0.6490
dog,0.43,0.57,0.3495
bicycle,0.43,0.57,0.3838
train,0.43,0.57,0.5080
motorbike,0.43,0.57,0.3173
bottle,0.43,0.57,0.1388
sofa,0.43,0.57,0.1721
cat,0.43,0.57,0.4561
horse,0.43,0.57,0.3181
boat,0.43,0.57,0.3940
bus,0.43,0.57,0.6166
bird,0.43,0.57,0.3183
tvmonitor,0.43,0.57,0.3902
pottedplant,0.43,0.57,0.1591
sheep,0.43,0.57,0.3472
chair,0.43,0.57,0.3678
cow,0.43,0.57,0.1765
diningtable,0.63,0.37,0.2461
car,0.63,0.37,0.4018
person,0.63,0.37,0.6843
aeroplane,0.63,0.37,0.7068
dog,0.63,0.37,0.3489
bicycle,0.63,0.37,0.3849
train,0.63,0.37,0.5146
motorbike,0.63,0.37,0.3127
bottle,0.63,0.37,0.1388
sofa,0.63,0.37,0.1926
cat,0.63,0.37,0.4553
horse,0.63,0.37,0.3163
boat,0.63,0.37,0.3861
bus,0.63,0.37,0.6140
bird,0.63,0.37,0.3249
tvmonitor,0.63,0.37,0.3887
pottedplant,0.63,0.37,0.1526
sheep,0.63,0.37,0.3549
chair,0.63,0.37,0.3794
cow,0.63,0.37,0.1849
diningtable,0.02,0.98,0.1497
car,0.02,0.98,0.2420
person,0.02,0.98,0.5403
aeroplane,0.02,0.98,0.3849
dog,0.02,0.98,0.2195
bicycle,0.02,0.98,0.1253
train,0.02,0.98,0.1616
motorbike,0.02,0.98,0.1269
bottle,0.02,0.98,0.0992
sofa,0.02,0.98,0.0918
cat,0.02,0.98,0.2103
horse,0.02,0.98,0.1048
boat,0.02,0.98,0.2592
bus,0.02,0.98,0.2096
bird,0.02,0.98,0.2010
tvmonitor,0.02,0.98,0.1349
pottedplant,0.02,0.98,0.1151
sheep,0.02,0.98,0.1564
chair,0.02,0.98,0.1915
cow,0.02,0.98,0.0968
diningtable,0.84,0.16,0.2336
car,0.84,0.16,0.3913
person,0.84,0.16,0.6703
aeroplane,0.84,0.16,0.7025
dog,0.84,0.16,0.3465
bicycle,0.84,0.16,0.3835
train,0.84,0.16,0.5109
motorbike,0.84,0.16,0.3041
bottle,0.84,0.16,0.1362
sofa,0.84,0.16,0.1898
cat,0.84,0.16,0.4479
horse,0.84,0.16,0.3119
boat,0.84,0.16,0.3566
bus,0.84,0.16,0.5989
bird,0.84,0.16,0.3059
tvmonitor,0.84,0.16,0.3826
pottedplant,0.84,0.16,0.1455
sheep,0.84,0.16,0.3509
chair,0.84,0.16,0.3711
cow,0.84,0.16,0.1762
diningtable,0.2,0.8,0.2220
car,0.2,0.8,0.3382
person,0.2,0.8,0.6179
aeroplane,0.2,0.8,0.5401
dog,0.2,0.8,0.3398
bicycle,0.2,0.8,0.3598
train,0.2,0.8,0.3924
motorbike,0.2,0.8,0.3078
bottle,0.2,0.8,0.1287
sofa,0.2,0.8,0.1231
cat,0.2,0.8,0.4105
horse,0.2,0.8,0.2938
boat,0.2,0.8,0.3403
bus,0.2,0.8,0.4845
bird,0.2,0.8,0.2551
tvmonitor,0.2,0.8,0.3508
pottedplant,0.2,0.8,0.1708
sheep,0.2,0.8,0.2643
chair,0.2,0.8,0.2746
cow,0.2,0.8,0.1352
diningtable,0.9,0.1,0.2303
car,0.9,0.1,0.3877
person,0.9,0.1,0.6656
aeroplane,0.9,0.1,0.6978
dog,0.9,0.1,0.3455
bicycle,0.9,0.1,0.3827
train,0.9,0.1,0.5083
motorbike,0.9,0.1,0.3016
bottle,0.9,0.1,0.1355
sofa,0.9,0.1,0.1878
cat,0.9,0.1,0.4456
horse,0.9,0.1,0.3112
boat,0.9,0.1,0.3457
bus,0.9,0.1,0.5929
bird,0.9,0.1,0.3002
tvmonitor,0.9,0.1,0.3808
pottedplant,0.9,0.1,0.1439
sheep,0.9,0.1,0.3516
chair,0.9,0.1,0.3678
cow,0.9,0.1,0.1726
diningtable,0.72,0.28,0.2410
car,0.72,0.28,0.3981
person,0.72,0.28,0.6793
aeroplane,0.72,0.28,0.7065
dog,0.72,0.28,0.3478
bicycle,0.72,0.28,0.3844
train,0.72,0.28,0.5132
motorbike,0.72,0.28,0.3098
bottle,0.72,0.28,0.1378
sofa,0.72,0.28,0.1936
cat,0.72,0.28,0.4523
horse,0.72,0.28,0.3139
boat,0.72,0.28,0.3753
bus,0.72,0.28,0.6089
bird,0.72,0.28,0.3156
tvmonitor,0.72,0.28,0.3861
pottedplant,0.72,0.28,0.1491
sheep,0.72,0.28,0.3512
chair,0.72,0.28,0.3767
cow,0.72,0.28,0.1834
diningtable,0.64,0.36,0.2456
car,0.64,0.36,0.4014
person,0.64,0.36,0.6839
aeroplane,0.64,0.36,0.7072
dog,0.64,0.36,0.3488
bicycle,0.64,0.36,0.3851
train,0.64,0.36,0.5144
motorbike,0.64,0.36,0.3124
bottle,0.64,0.36,0.1385
sofa,0.64,0.36,0.1927
cat,0.64,0.36,0.4550
horse,0.64,0.36,0.3163
boat,0.64,0.36,0.3852
bus,0.64,0.36,0.6128
bird,0.64,0.36,0.3239
tvmonitor,0.64,0.36,0.3885
pottedplant,0.64,0.36,0.1522
sheep,0.64,0.36,0.3538
chair,0.64,0.36,0.3793
cow,0.64,0.36,0.1847
diningtable,0.12,0.88,0.1894
car,0.12,0.88,0.2967
person,0.12,0.88,0.5868
aeroplane,0.12,0.88,0.4873
dog,0.12,0.88,0.3239
bicycle,0.12,0.88,0.3222
train,0.12,0.88,0.2913
motorbike,0.12,0.88,0.2422
bottle,0.12,0.88,0.1173
sofa,0.12,0.88,0.1080
cat,0.12,0.88,0.3485
horse,0.12,0.88,0.2385
boat,0.12,0.88,0.3028
bus,0.12,0.88,0.3550
bird,0.12,0.88,0.2314
tvmonitor,0.12,0.88,0.2757
pottedplant,0.12,0.88,0.1649
sheep,0.12,0.88,0.2168
chair,0.12,0.88,0.2368
cow,0.12,0.88,0.1183
diningtable,0.79,0.21,0.2366
car,0.79,0.21,0.3946
person,0.79,0.21,0.6741
aeroplane,0.79,0.21,0.7040
dog,0.79,0.21,0.3470
bicycle,0.79,0.21,0.3838
train,0.79,0.21,0.5117
motorbike,0.79,0.21,0.3055
bottle,0.79,0.21,0.1367
sofa,0.79,0.21,0.1914
cat,0.79,0.21,0.4495
horse,0.79,0.21,0.3126
boat,0.79,0.21,0.3651
bus,0.79,0.21,0.6032
bird,0.79,0.21,0.3108
tvmonitor,0.79,0.21,0.3840
pottedplant,0.79,0.21,0.1465
sheep,0.79,0.21,0.3517
chair,0.79,0.21,0.3737
cow,0.79,0.21,0.1779
diningtable,0.58,0.42,0.2497
car,0.58,0.42,0.4026
person,0.58,0.42,0.6859
aeroplane,0.58,0.42,0.7040
dog,0.58,0.42,0.3492
bicycle,0.58,0.42,0.3853
train,0.58,0.42,0.5144
motorbike,0.58,0.42,0.3133
bottle,0.58,0.42,0.1394
sofa,0.58,0.42,0.1899
cat,0.58,0.42,0.4567
horse,0.58,0.42,0.3175
boat,0.58,0.42,0.3904
bus,0.58,0.42,0.6164
bird,0.58,0.42,0.3271
tvmonitor,0.58,0.42,0.3897
pottedplant,0.58,0.42,0.1526
sheep,0.58,0.42,0.3532
chair,0.58,0.42,0.3774
cow,0.58,0.42,0.1846
diningtable,0.44,0.56,0.2557
car,0.44,0.56,0.3977
person,0.44,0.56,0.6808
aeroplane,0.44,0.56,0.6547
dog,0.44,0.56,0.3495
bicycle,0.44,0.56,0.3839
train,0.44,0.56,0.5088
motorbike,0.44,0.56,0.3172
bottle,0.44,0.56,0.1382
sofa,0.44,0.56,0.1739
cat,0.44,0.56,0.4564
horse,0.44,0.56,0.3184
boat,0.44,0.56,0.3943
bus,0.44,0.56,0.6167
bird,0.44,0.56,0.3197
tvmonitor,0.44,0.56,0.3901
pottedplant,0.44,0.56,0.1584
sheep,0.44,0.56,0.3471
chair,0.44,0.56,0.3694
cow,0.44,0.56,0.1772
diningtable,0.28,0.72,0.2411
car,0.28,0.72,0.3684
person,0.28,0.72,0.6447
aeroplane,0.28,0.72,0.5844
dog,0.28,0.72,0.3458
bicycle,0.28,0.72,0.3746
train,0.28,0.72,0.4675
motorbike,0.28,0.72,0.3184
bottle,0.28,0.72,0.1335
sofa,0.28,0.72,0.1395
cat,0.28,0.72,0.4382
horse,0.28,0.72,0.3098
boat,0.28,0.72,0.3699
bus,0.28,0.72,0.5683
bird,0.28,0.72,0.2800
tvmonitor,0.28,0.72,0.3767
pottedplant,0.28,0.72,0.1670
sheep,0.28,0.72,0.3087
chair,0.28,0.72,0.3151
cow,0.28,0.72,0.1500
diningtable,0.52,0.48,0.2524
car,0.52,0.48,0.4025
person,0.52,0.48,0.6860
aeroplane,0.52,0.48,0.6912
dog,0.52,0.48,0.3494
bicycle,0.52,0.48,0.3850
train,0.52,0.48,0.5131
motorbike,0.52,0.48,0.3158
bottle,0.52,0.48,0.1385
sofa,0.52,0.48,0.1837
cat,0.52,0.48,0.4574
horse,0.52,0.48,0.3187
boat,0.52,0.48,0.3952
bus,0.52,0.48,0.6179
bird,0.52,0.48,0.3273
tvmonitor,0.52,0.48,0.3910
pottedplant,0.52,0.48,0.1550
sheep,0.52,0.48,0.3527
chair,0.52,0.48,0.3760
cow,0.52,0.48,0.1827
diningtable,0.16,0.84,0.2078
car,0.16,0.84,0.3184
person,0.16,0.84,0.6029
aeroplane,0.16,0.84,0.5149
dog,0.16,0.84,0.3342
bicycle,0.16,0.84,0.3458
train,0.16,0.84,0.3418
motorbike,0.16,0.84,0.2832
bottle,0.16,0.84,0.1239
sofa,0.16,0.84,0.1152
cat,0.16,0.84,0.3840
horse,0.16,0.84,0.2725
boat,0.16,0.84,0.3237
bus,0.16,0.84,0.4200
bird,0.16,0.84,0.2431
tvmonitor,0.16,0.84,0.3223
pottedplant,0.16,0.84,0.1694
sheep,0.16,0.84,0.2408
chair,0.16,0.84,0.2559
cow,0.16,0.84,0.1263
diningtable,0.13,0.87,0.1946
car,0.13,0.87,0.3020
person,0.13,0.87,0.5909
aeroplane,0.13,0.87,0.4946
dog,0.13,0.87,0.3271
bicycle,0.13,0.87,0.3296
train,0.13,0.87,0.3036
motorbike,0.13,0.87,0.2555
bottle,0.13,0.87,0.1193
sofa,0.13,0.87,0.1096
cat,0.13,0.87,0.3589
horse,0.13,0.87,0.2480
boat,0.13,0.87,0.3080
bus,0.13,0.87,0.3710
bird,0.13,0.87,0.2346
tvmonitor,0.13,0.87,0.2889
pottedplant,0.13,0.87,0.1672
sheep,0.13,0.87,0.2234
chair,0.13,0.87,0.2413
cow,0.13,0.87,0.1200
diningtable,0.18,0.82,0.2158
car,0.18,0.82,0.3285
person,0.18,0.82,0.6104
aeroplane,0.18,0.82,0.5273
dog,0.18,0.82,0.3373
bicycle,0.18,0.82,0.3543
train,0.18,0.82,0.3695
motorbike,0.18,0.82,0.2982
bottle,0.18,0.82,0.1267
sofa,0.18,0.82,0.1189
cat,0.18,0.82,0.3988
horse,0.18,0.82,0.2845
boat,0.18,0.82,0.3313
bus,0.18,0.82,0.4516
bird,0.18,0.82,0.2496
tvmonitor,0.18,0.82,0.3386
pottedplant,0.18,0.82,0.1707
sheep,0.18,0.82,0.2539
chair,0.18,0.82,0.2655
cow,0.18,0.82,0.1307
diningtable,0.41,0.59,0.2559
car,0.41,0.59,0.3947
person,0.41,0.59,0.6768
