concept,siftco,colorco,map
bicycle,0.89,0.11,0.3829
train,0.89,0.11,0.5086
motorbike,0.89,0.11,0.3020
bottle,0.89,0.11,0.1357
sofa,0.89,0.11,0.1882
cat,0.89,0.11,0.4460
horse,0.89,0.11,0.3113
boat,0.89,0.11,0.3478
bus,0.89,0.11,0.5934
bird,0.89,0.11,0.3013
tvmonitor,0.89,0.11,0.3810
pottedplant,0.89,0.11,0.1443
sheep,0.89,0.11,0.3512
chair,0.89,0.11,0.3686
cow,0.89,0.11,0.1743
diningtable,0.82,0.18,0.2346
car,0.82,0.18,0.3925
person,0.82,0.18,0.6718
aeroplane,0.82,0.18,0.7037
dog,0.82,0.18,0.3466
bicycle,0.82,0.18,0.3834
train,0.82,0.18,0.5113
motorbike,0.82,0.18,0.3048
bottle,0.82,0.18,0.1364
sofa,0.82,0.18,0.1905
cat,0.82,0.18,0.4484
horse,0.82,0.18,0.3121
boat,0.82,0.18,0.3609
bus,0.82,0.18,0.6008
bird,0.82,0.18,0.3077
tvmonitor,0.82,0.18,0.3832
pottedplant,0.82,0.18,0.1461
sheep,0.82,0.18,0.3514
chair,0.82,0.18,0.3722
cow,0.82,0.18,0.1771
diningtable,0.07,0.93,0.1700
car,0.07,0.93,0.2682
person,0.07,0.93,0.5648
aeroplane,0.07,0.93,0.4450
dog,0.07,0.93,0.2953
bicycle,0.07,0.93,0.2636
train,0.07,0.93,0.2255
motorbike,0.07,0.93,0.1801
bottle,0.07,0.93,0.1086
sofa,0.07,0.93,0.0993
cat,0.07,0.93,0.2822
horse,0.07,0.93,0.1751
boat,0.07,0.93,0.2805
bus,0.07,0.93,0.2764
bird,0.07,0.93,0.2164
tvmonitor,0.07,0.93,0.1972
pottedplant,0.07,0.93,0.1448
sheep,0.07,0.93,0.1859
chair,0.07,0.93,0.2125
cow,0.07,0.93,0.1082
diningtable,0.09,0.91,0.1772
car,0.09,0.91,0.2790
person,0.09,0.91,0.5739
aeroplane,0.09,0.91,0.4636
dog,0.09,0.91,0.3109
bicycle,0.09,0.91,0.2935
train,0.09,0.91,0.2500
motorbike,0.09,0.91,0.2044
bottle,0.09,0.91,0.1128
sofa,0.09,0.91,0.1027
cat,0.09,0.91,0.3105
horse,0.09,0.91,0.2051
boat,0.09,0.91,0.2879
bus,0.09,0.91,0.3059
bird,0.09,0.91,0.2226
tvmonitor,0.09,0.91,0.2293
pottedplant,0.09,0.91,0.1562
sheep,0.09,0.91,0.1990
chair,0.09,0.91,0.2217
cow,0.09,0.91,0.1116
diningtable,0.86,0.14,0.2325
car,0.86,0.14,0.3902
person,0.86,0.14,0.6688
aeroplane,0.86,0.14,0.7012
dog,0.86,0.14,0.3463
bicycle,0.86,0.14,0.3835
train,0.86,0.14,0.5101
motorbike,0.86,0.14,0.3030
bottle,0.86,0.14,0.1360
sofa,0.86,0.14,0.1890
cat,0.86,0.14,0.4472
horse,0.86,0.14,0.3116
boat,0.86,0.14,0.3528
bus,0.86,0.14,0.5966
bird,0.86,0.14,0.3049
tvmonitor,0.86,0.14,0.3820
pottedplant,0.86,0.14,0.1451
sheep,0.86,0.14,0.3522
chair,0.86,0.14,0.3702
cow,0.86,0.14,0.1752
diningtable,0.76,0.24,0.2385
car,0.76,0.24,0.3959
person,0.76,0.24,0.6764
aeroplane,0.76,0.24,0.7056
dog,0.76,0.24,0.3475
bicycle,0.76,0.24,0.3839
train,0.76,0.24,0.5120
motorbike,0.76,0.24,0.3077
bottle,0.76,0.24,0.1372
sofa,0.76,0.24,0.1920
cat,0.76,0.24,0.4508
horse,0.76,0.24,0.3132
boat,0.76,0.24,0.3695
bus,0.76,0.24,0.6049
bird,0.76,0.24,0.3134
tvmonitor,0.76,0.24,0.3847
pottedplant,0.76,0.24,0.1474
sheep,0.76,0.24,0.3516
chair,0.76,0.24,0.3757
cow,0.76,0.24,0.1790
diningtable,0.66,0.34,0.2449
car,0.66,0.34,0.4006
person,0.66,0.34,0.6828
aeroplane,0.66,0.34,0.7071
dog,0.66,0.34,0.3486
bicycle,0.66,0.34,0.3849
train,0.66,0.34,0.5141
motorbike,0.66,0.34,0.3118
bottle,0.66,0.34,0.1384
sofa,0.66,0.34,0.1934
cat,0.66,0.34,0.4543
horse,0.66,0.34,0.3160
boat,0.66,0.34,0.3830
bus,0.66,0.34,0.6124
bird,0.66,0.34,0.3220
tvmonitor,0.66,0.34,0.3879
pottedplant,0.66,0.34,0.1514
sheep,0.66,0.34,0.3524
chair,0.66,0.34,0.3792
cow,0.66,0.34,0.1832
diningtable,0.53,0.47,0.2522
car,0.53,0.47,0.4026
person,0.53,0.47,0.6861
aeroplane,0.53,0.47,0.6940
dog,0.53,0.47,0.3494
bicycle,0.53,0.47,0.3849
train,0.53,0.47,0.5131
motorbike,0.53,0.47,0.3148
bottle,0.53,0.47,0.1383
sofa,0.53,0.47,0.1847
cat,0.53,0.47,0.4575
horse,0.53,0.47,0.3187
boat,0.53,0.47,0.3943
bus,0.53,0.47,0.6176
bird,0.53,0.47,0.3270
tvmonitor,0.53,0.47,0.3909
pottedplant,0.53,0.47,0.1542
sheep,0.53,0.47,0.3525
chair,0.53,0.47,0.3761
cow,0.53,0.47,0.1832
diningtable,0.35,0.65,0.2512
car,0.35,0.65,0.3868
person,0.35,0.65,0.6646
aeroplane,0.35,0.65,0.6161
dog,0.35,0.65,0.3482
bicycle,0.35,0.65,0.3802
train,0.35,0.65,0.4951
motorbike,0.35,0.65,0.3180
bottle,0.35,0.65,0.1372
sofa,0.35,0.65,0.1553
cat,0.35,0.65,0.4502
horse,0.35,0.65,0.3165
boat,0.35,0.65,0.3861
bus,0.35,0.65,0.6028
bird,0.35,0.65,0.3006
tvmonitor,0.35,0.65,0.3860
pottedplant,0.35,0.65,0.1629
sheep,0.35,0.65,0.3290
chair,0.35,0.65,0.3462
cow,0.35,0.65,0.1641
diningtable,0.88,0.12,0.2316
car,0.88,0.12,0.3887
person,0.88,0.12,0.6671
aeroplane,0.88,0.12,0.6997
dog,0.88,0.12,0.3458
bicycle,0.88,0.12,0.3830
train,0.88,0.12,0.5091
motorbike,0.88,0.12,0.3024
bottle,0.88,0.12,0.1357
sofa,0.88,0.12,0.1886
cat,0.88,0.12,0.4463
horse,0.88,0.12,0.3114
boat,0.88,0.12,0.3497
bus,0.88,0.12,0.5950
bird,0.88,0.12,0.3024
tvmonitor,0.88,0.12,0.3812
pottedplant,0.88,0.12,0.1445
sheep,0.88,0.12,0.3520
chair,0.88,0.12,0.3690
cow,0.88,0.12,0.1748
diningtable,0.75,0.25,0.2391
car,0.75,0.25,0.3967
person,0.75,0.25,0.6772
aeroplane,0.75,0.25,0.7061
dog,0.75,0.25,0.3476
bicycle,0.75,0.25,0.3839
train,0.75,0.25,0.5124
motorbike,0.75,0.25,0.3082
bottle,0.75,0.25,0.1374
sofa,0.75,0.25,0.1932
cat,0.75,0.25,0.4513
horse,0.75,0.25,0.3133
boat,0.75,0.25,0.3712
bus,0.75,0.25,0.6065
bird,0.75,0.25,0.3130
tvmonitor,0.75,0.25,0.3851
pottedplant,0.75,0.25,0.1478
sheep,0.75,0.25,0.3515
chair,0.75,0.25,0.3760
cow,0.75,0.25,0.1832
diningtable,0.11,0.89,0.1853
car,0.11,0.89,0.2909
person,0.11,0.89,0.5826
aeroplane,0.11,0.89,0.4794
dog,0.11,0.89,0.3201
bicycle,0.11,0.89,0.3142
train,0.11,0.89,0.2776
motorbike,0.11,0.89,0.2303
bottle,0.11,0.89,0.1158
sofa,0.11,0.89,0.1062
cat,0.11,0.89,0.3370
horse,0.11,0.89,0.2275
boat,0.11,0.89,0.2984
bus,0.11,0.89,0.3384
bird,0.11,0.89,0.2284
tvmonitor,0.11,0.89,0.2617
pottedplant,0.11,0.89,0.1621
sheep,0.11,0.89,0.2106
chair,0.11,0.89,0.2311
cow,0.11,0.89,0.1164
diningtable,0.85,0.15,0.2329
car,0.85,0.15,0.3909
person,0.85,0.15,0.6695
aeroplane,0.85,0.15,0.7021
dog,0.85,0.15,0.3464
bicycle,0.85,0.15,0.3835
train,0.85,0.15,0.5105
motorbike,0.85,0.15,0.3033
bottle,0.85,0.15,0.1361
sofa,0.85,0.15,0.1894
cat,0.85,0.15,0.4478
horse,0.85,0.15,0.3118
boat,0.85,0.15,0.3544
bus,0.85,0.15,0.5980
bird,0.85,0.15,0.3057
tvmonitor,0.85,0.15,0.3822
pottedplant,0.85,0.15,0.1452
sheep,0.85,0.15,0.3509
chair,0.85,0.15,0.3706
cow,0.85,0.15,0.1757
diningtable,0.06,0.94,0.1669
car,0.06,0.94,0.2624
person,0.06,0.94,0.5602
aeroplane,0.06,0.94,0.4342
dog,0.06,0.94,0.2861
bicycle,0.06,0.94,0.2443
train,0.06,0.94,0.2128
motorbike,0.06,0.94,0.1683
bottle,0.06,0.94,0.1067
sofa,0.06,0.94,0.0978
cat,0.06,0.94,0.2668
horse,0.06,0.94,0.1573
boat,0.06,0.94,0.2758
bus,0.06,0.94,0.2618
bird,0.06,0.94,0.2133
tvmonitor,0.06,0.94,0.1819
pottedplant,0.06,0.94,0.1404
sheep,0.06,0.94,0.1780
chair,0.06,0.94,0.2082
cow,0.06,0.94,0.1055
diningtable,0.7,0.3,0.2425
car,0.7,0.3,0.3991
person,0.7,0.3,0.6805
aeroplane,0.7,0.3,0.7072
dog,0.7,0.3,0.3480
bicycle,0.7,0.3,0.3849
train,0.7,0.3,0.5138
motorbike,0.7,0.3,0.3104
bottle,0.7,0.3,0.1380
sofa,0.7,0.3,0.1936
cat,0.7,0.3,0.4532
horse,0.7,0.3,0.3151
boat,0.7,0.3,0.3773
bus,0.7,0.3,0.6107
bird,0.7,0.3,0.3173
tvmonitor,0.7,0.3,0.3865
pottedplant,0.7,0.3,0.1497
sheep,0.7,0.3,0.3514
chair,0.7,0.3,0.3777
cow,0.7,0.3,0.1840
diningtable,0.4,0.6,0.2557
car,0.4,0.6,0.3937
person,0.4,0.6,0.6750
aeroplane,0.4,0.6,0.6346
dog,0.4,0.6,0.3490
bicycle,0.4,0.6,0.3827
train,0.4,0.6,0.5044
motorbike,0.4,0.6,0.3169
bottle,0.4,0.6,0.1383
sofa,0.4,0.6,0.1679
cat,0.4,0.6,0.4548
horse,0.4,0.6,0.3167
boat,0.4,0.6,0.3929
bus,0.4,0.6,0.6138
bird,0.4,0.6,0.3140
tvmonitor,0.4,0.6,0.3898
pottedplant,0.4,0.6,0.1603
sheep,0.4,0.6,0.3383
chair,0.4,0.6,0.3623
cow,0.4,0.6,0.1728
diningtable,0.3,0.7,0.2462
car,0.3,0.7,0.3749
person,0.3,0.7,0.6508
aeroplane,0.3,0.7,0.5940
dog,0.3,0.7,0.3464
bicycle,0.3,0.7,0.3765
train,0.3,0.7,0.4773
motorbike,0.3,0.7,0.3196
bottle,0.3,0.7,0.1358
sofa,0.3,0.7,0.1438
cat,0.3,0.7,0.4425
horse,0.3,0.7,0.3124
boat,0.3,0.7,0.3746
bus,0.3,0.7,0.5822
bird,0.3,0.7,0.2856
tvmonitor,0.3,0.7,0.3794
pottedplant,0.3,0.7,0.1661
sheep,0.3,0.7,0.3139
chair,0.3,0.7,0.3249
cow,0.3,0.7,0.1529
diningtable,0.1,0.9,0.1809
car,0.1,0.9,0.2855
person,0.1,0.9,0.5782
aeroplane,0.1,0.9,0.4714
dog,0.1,0.9,0.3155
bicycle,0.1,0.9,0.3035
train,0.1,0.9,0.2629
motorbike,0.1,0.9,0.2167
bottle,0.1,0.9,0.1143
sofa,0.1,0.9,0.1045
cat,0.1,0.9,0.3238
horse,0.1,0.9,0.2167
boat,0.1,0.9,0.2943
bus,0.1,0.9,0.3211
bird,0.1,0.9,0.2255
tvmonitor,0.1,0.9,0.2453
pottedplant,0.1,0.9,0.1609
sheep,0.1,0.9,0.2046
chair,0.1,0.9,0.2262
cow,0.1,0.9,0.1136
diningtable,0.81,0.19,0.2353
car,0.81,0.19,0.3931
person,0.81,0.19,0.6725
aeroplane,0.81,0.19,0.7040
dog,0.81,0.19,0.3467
bicycle,0.81,0.19,0.3835
train,0.81,0.19,0.5114
motorbike,0.81,0.19,0.3049
bottle,0.81,0.19,0.1365
sofa,0.81,0.19,0.1907
cat,0.81,0.19,0.4488
horse,0.81,0.19,0.3123
boat,0.81,0.19,0.3623
bus,0.81,0.19,0.6016
bird,0.81,0.19,0.3091
tvmonitor,0.81,0.19,0.3836
pottedplant,0.81,0.19,0.1462
sheep,0.81,0.19,0.3514
chair,0.81,0.19,0.3726
cow,0.81,0.19,0.1776
diningtable,0.31,0.69,0.2479
car,0.31,0.69,0.3772
person,0.31,0.69,0.6539
aeroplane,0.31,0.69,0.5990
dog,0.31,0.69,0.3469
bicycle,0.31,0.69,0.3773
train,0.31,0.69,0.4817
motorbike,0.31,0.69,0.3190
bottle,0.31,0.69,0.1361
sofa,0.31,0.69,0.1467
cat,0.31,0.69,0.4441
horse,0.31,0.69,0.3134
boat,0.31,0.69,0.3775
bus,0.31,0.69,0.5870
bird,0.31,0.69,0.2885
tvmonitor,0.31,0.69,0.3812
pottedplant,0.31,0.69,0.1655
sheep,0.31,0.69,0.3168
chair,0.31,0.69,0.3294
cow,0.31,0.69,0.1541
diningtable,0.27,0.73,0.2384
car,0.27,0.73,0.3657
person,0.27,0.73,0.6417
aeroplane,0.27,0.73,0.5786
dog,0.27,0.73,0.3456
bicycle,0.27,0.73,0.3735
train,0.27,0.73,0.4603
motorbike,0.27,0.73,0.3175
bottle,0.27,0.73,0.1326
sofa,0.27,0.73,0.1371
cat,0.27,0.73,0.4356
horse,0.27,0.73,0.3097
boat,0.27,0.73,0.3663
bus,0.27,0.73,0.5592
bird,0.27,0.73,0.2766
tvmonitor,0.27,0.73,0.3752
pottedplant,0.27,0.73,0.1672
sheep,0.27,0.73,0.3036
chair,0.27,0.73,0.3102
cow,0.27,0.73,0.1481
diningtable,0.05,0.95,0.1612
car,0.05,0.95,0.2571
person,0.05,0.95,0.5555
aeroplane,0.05,0.95,0.4235
dog,0.05,0.95,0.2740
bicycle,0.05,0.95,0.2196
train,0.05,0.95,0.1983
motorbike,0.05,0.95,0.1562
bottle,0.05,0.95,0.1050
sofa,0.05,0.95,0.0963
cat,0.05,0.95,0.2520
horse,0.05,0.95,0.1413
boat,0.05,0.95,0.2713
bus,0.05,0.95,0.2457
bird,0.05,0.95,0.2105
tvmonitor,0.05,0.95,0.1682
pottedplant,0.05,0.95,0.1328
sheep,0.05,0.95,0.1725
chair,0.05,0.95,0.2038
cow,0.05,0.95,0.1028
diningtable,0.15,0.85,0.2031
car,0.15,0.85,0.3127
person,0.15,0.85,0.5990
aeroplane,0.15,0.85,0.5076
dog,0.15,0.85,0.3323
bicycle,0.15,0.85,0.3404
train,0.15,0.85,0.3298
motorbike,0.15,0.85,0.2754
bottle,0.15,0.85,0.1220
sofa,0.15,0.85,0.1130
cat,0.15,0.85,0.3766
horse,0.15,0.85,0.2657
boat,0.15,0.85,0.3181
bus,0.15,0.85,0.4044
bird,0.15,0.85,0.2403
tvmonitor,0.15,0.85,0.3116
pottedplant,0.15,0.85,0.1695
sheep,0.15,0.85,0.2344
chair,0.15,0.85,0.2514
cow,0.15,0.85,0.1246
diningtable,0.22,0.78,0.2283
car,0.22,0.78,0.3465
person,0.22,0.78,0.6251
aeroplane,0.22,0.78,0.5514
dog,0.22,0.78,0.3418
bicycle,0.22,0.78,0.3636
train,0.22,0.78,0.4154
motorbike,0.22,0.78,0.3119
bottle,0.22,0.78,0.1297
sofa,0.22,0.78,0.1269
cat,0.22,0.78,0.4191
horse,0.22,0.78,0.2980
boat,0.22,0.78,0.3480
bus,0.22,0.78,0.5132
bird,0.22,0.78,0.2612
tvmonitor,0.22,0.78,0.3595
pottedplant,0.22,0.78,0.1702
sheep,0.22,0.78,0.2773
chair,0.22,0.78,0.2847
cow,0.22,0.78,0.1389
diningtable,0.69,0.31,0.2435
car,0.69,0.31,0.3994
person,0.69,0.31,0.6811
aeroplane,0.69,0.31,0.7071
dog,0.69,0.31,0.3482
bicycle,0.69,0.31,0.3852
train,0.69,0.31,0.5140
motorbike,0.69,0.31,0.3107
bottle,0.69,0.31,0.1381
sofa,0.69,0.31,0.1939
cat,0.69,0.31,0.4535
horse,0.69,0.31,0.3152
boat,0.69,0.31,0.3787
bus,0.69,0.31,0.6113
bird,0.69,0.31,0.3183
tvmonitor,0.69,0.31,0.3867
pottedplant,0.69,0.31,0.1501
sheep,0.69,0.31,0.3516
chair,0.69,0.31,0.3778
cow,0.69,0.31,0.1840
diningtable,0.65,0.35,0.2451
car,0.65,0.35,0.4013
person,0.65,0.35,0.6834
aeroplane,0.65,0.35,0.7073
dog,0.65,0.35,0.3487
bicycle,0.65,0.35,0.3849
train,0.65,0.35,0.5144
motorbike,0.65,0.35,0.3119
bottle,0.65,0.35,0.1386
sofa,0.65,0.35,0.1930
cat,0.65,0.35,0.4547
horse,0.65,0.35,0.3161
boat,0.65,0.35,0.3844
bus,0.65,0.35,0.6126
bird,0.65,0.35,0.3229
tvmonitor,0.65,0.35,0.3881
