concept;g;w;map
sofa;3;11;0.0851
cat;3;11;0.1836
horse;3;11;0.0781
boat;3;11;0.2453
all;3;11;0.3016
bus;3;11;0.1636
bird;3;11;0.1635
tvmonitor;3;11;0.1058
pottedplant;3;11;0.0822
sheep;3;11;0.1245
chair;3;11;0.1768
cow;3;11;0.0732
diningtable;2;4;0.0939
car;2;4;0.2003
person;2;4;0.4827
aeroplane;2;4;0.3517
dog;2;4;0.1587
bicycle;2;4;0.0677
train;2;4;0.1147
motorbike;2;4;0.0873
bottle;2;4;0.0778
sofa;2;4;0.0713
cat;2;4;0.1541
horse;2;4;0.0571
boat;2;4;0.2174
all;2;4;0.3517
bus;2;4;0.1390
bird;2;4;0.1676
tvmonitor;2;4;0.0809
pottedplant;2;4;0.0740
sheep;2;4;0.1293
chair;2;4;0.1691
cow;2;4;0.0505
diningtable;7;18;0.1126
car;7;18;0.2090
person;7;18;0.4593
aeroplane;7;18;0.2383
dog;7;18;0.1538
bicycle;7;18;0.0809
train;7;18;0.1232
motorbike;7;18;0.1089
bottle;7;18;0.0759
sofa;7;18;0.0771
cat;7;18;0.1602
horse;7;18;0.0755
boat;7;18;0.1747
all;7;18;0.2383
bus;7;18;0.1809
bird;7;18;0.1253
tvmonitor;7;18;0.1133
pottedplant;7;18;0.1028
sheep;7;18;0.0858
chair;7;18;0.1567
cow;7;18;0.0751
diningtable;1;2;0.0634
car;1;2;0.1457
person;1;2;0.4993
aeroplane;1;2;0.3112
dog;1;2;0.1439
bicycle;1;2;0.0607
train;1;2;0.0985
motorbike;1;2;0.0728
bottle;1;2;0.0628
sofa;1;2;0.0677
cat;1;2;0.1375
horse;1;2;0.0463
boat;1;2;0.1751
all;1;2;0.3112
bus;1;2;0.0912
bird;1;2;0.1460
tvmonitor;1;2;0.0643
pottedplant;1;2;0.0610
sheep;1;2;0.1116
chair;1;2;0.1329
cow;1;2;0.0439
diningtable;8;10;0.1248
car;8;10;0.2291
person;8;10;0.4643
aeroplane;8;10;0.2773
dog;8;10;0.1577
bicycle;8;10;0.0778
train;8;10;0.1232
motorbike;8;10;0.1062
bottle;8;10;0.0806
sofa;8;10;0.0869
cat;8;10;0.1704
horse;8;10;0.0721
boat;8;10;0.2154
all;8;10;0.2773
bus;8;10;0.1603
bird;8;10;0.1495
tvmonitor;8;10;0.1110
pottedplant;8;10;0.0913
sheep;8;10;0.0954
chair;8;10;0.1636
cow;8;10;0.0730
diningtable;5;24;0.1127
car;5;24;0.1957
person;5;24;0.4526
aeroplane;5;24;0.2403
dog;5;24;0.1480
bicycle;5;24;0.0814
train;5;24;0.1186
motorbike;5;24;0.1057
bottle;5;24;0.0741
sofa;5;24;0.0766
cat;5;24;0.1628
horse;5;24;0.0748
boat;5;24;0.1744
all;5;24;0.2403
bus;5;24;0.1708
bird;5;24;0.1172
tvmonitor;5;24;0.1063
pottedplant;5;24;0.1005
sheep;5;24;0.0879
chair;5;24;0.1573
cow;5;24;0.0793
diningtable;7;7;0.1298
car;7;7;0.2267
person;7;7;0.4695
aeroplane;7;7;0.3014
dog;7;7;0.1591
bicycle;7;7;0.0704
train;7;7;0.1346
motorbike;7;7;0.0950
bottle;7;7;0.0873
sofa;7;7;0.0812
cat;7;7;0.1680
horse;7;7;0.0714
boat;7;7;0.2270
all;7;7;0.3014
bus;7;7;0.1630
bird;7;7;0.1633
tvmonitor;7;7;0.0952
pottedplant;7;7;0.0817
sheep;7;7;0.1166
chair;7;7;0.1739
cow;7;7;0.0666
diningtable;0;23;0.0770
car;0;23;0.1705
person;0;23;0.3256
aeroplane;0;23;0.3074
dog;0;23;0.1382
bicycle;0;23;0.0651
train;0;23;0.0774
motorbike;0;23;0.0569
bottle;0;23;0.0806
sofa;0;23;0.0734
cat;0;23;0.1528
horse;0;23;0.0680
boat;0;23;0.1650
all;0;23;0.3074
bus;0;23;0.0656
bird;0;23;0.1446
tvmonitor;0;23;0.0720
pottedplant;0;23;0.0555
sheep;0;23;0.1302
chair;0;23;0.1465
cow;0;23;0.0652
diningtable;7;17;0.1128
car;7;17;0.2092
person;7;17;0.4594
aeroplane;7;17;0.2419
dog;7;17;0.1547
bicycle;7;17;0.0810
train;7;17;0.1234
motorbike;7;17;0.1101
bottle;7;17;0.0765
sofa;7;17;0.0784
cat;7;17;0.1609
horse;7;17;0.0756
boat;7;17;0.1776
all;7;17;0.2419
bus;7;17;0.1848
bird;7;17;0.1284
tvmonitor;7;17;0.1150
pottedplant;7;17;0.1029
sheep;7;17;0.0870
chair;7;17;0.1579
cow;7;17;0.0742
diningtable;3;13;0.1345
car;3;13;0.2191
person;3;13;0.4514
aeroplane;3;13;0.2923
dog;3;13;0.1606
bicycle;3;13;0.0740
train;3;13;0.1198
motorbike;3;13;0.0964
bottle;3;13;0.0858
sofa;3;13;0.0851
cat;3;13;0.1800
horse;3;13;0.0819
boat;3;13;0.2426
all;3;13;0.2923
bus;3;13;0.1644
bird;3;13;0.1561
tvmonitor;3;13;0.1107
pottedplant;3;13;0.0820
sheep;3;13;0.1256
chair;3;13;0.1805
cow;3;13;0.0793
diningtable;3;6;0.1201
car;3;6;0.2162
person;3;6;0.4777
aeroplane;3;6;0.3355
dog;3;6;0.1660
bicycle;3;6;0.0692
train;3;6;0.1352
motorbike;3;6;0.0900
bottle;3;6;0.0842
sofa;3;6;0.0747
cat;3;6;0.1636
horse;3;6;0.0654
boat;3;6;0.2354
all;3;6;0.3355
bus;3;6;0.1582
bird;3;6;0.1773
tvmonitor;3;6;0.0904
pottedplant;3;6;0.0798
sheep;3;6;0.1285
chair;3;6;0.1826
cow;3;6;0.0586
diningtable;3;2;0.0717
car;3;2;0.1561
person;3;2;0.5080
aeroplane;3;2;0.3403
dog;3;2;0.1464
bicycle;3;2;0.0651
train;3;2;0.0963
motorbike;3;2;0.0823
bottle;3;2;0.0706
sofa;3;2;0.0690
cat;3;2;0.1391
horse;3;2;0.0520
boat;3;2;0.1877
all;3;2;0.3403
bus;3;2;0.1036
bird;3;2;0.1484
